Shapefile Column Name -> Original Column Name
============================================================
created_at   -> created_at
processed_   -> processed_timestamp
bpin         -> bpin
microtio     -> microtio
descripcio   -> descripcion_intervencion
updated_at   -> updated_at
centros_gr   -> centros_gravedad
upid         -> upid
clase_obra   -> clase_obra
plataforma   -> plataforma
nombre_up_   -> nombre_up_detalle
referencia   -> referencia_contrato
identifica   -> identificador
fecha_inic   -> fecha_inicio
fecha_fin    -> fecha_fin
estado       -> estado
tipo_equip   -> tipo_equipamiento
nombre_cen   -> nombre_centro_gestor
avance_obr   -> avance_obra
direccion    -> direccion
geometry_b   -> geometry_bounds
has_geomet   -> has_geometry
ano          -> ano
geometry_t   -> geometry_type
comuna_cor   -> comuna_corregimiento
nombre_up    -> nombre_up
referenc1    -> referencia_proceso
fuente_fin   -> fuente_financiacion
cantidad     -> cantidad
barrio_ver   -> barrio_vereda
presupuest   -> presupuesto_base
doc_id       -> doc_id
lote_contr   -> lote_contrato_secop_ii
url_proces   -> url_proceso
observacio   -> observaciones
tipo_inter   -> tipo_intervencion
microtio_1   -> microtio_1
unidad       -> unidad
fecha_inau   -> fecha_inauguracion
clase_up     -> clase_up
frente_act   -> frente_activo
barrio_v1    -> barrio_vereda_2
matriculad   -> matriculados_a_oct/25
fecha_fin_   -> fecha_fin_std
fecha_in1    -> fecha_inicio_std
